Name,Type,Ownership,Atoll/Island,Address,Level
The Language Learning Centre/ Vilimale',Specialised,Private,K.Male',V.Male' Hiyaa/ 1st Floor,Certificate/ Diploma
The Learning Spectrum,Mobile,Private,S.Maradhoofeydhoo,Hikifinifenmaage,Certificate
The solutionalist/ K.Male',Mobile,Private,K.Male',M.Finifaru,Certificate/ Diploma
Tourism Training Resources,Specialised,Private,K.Male',MATI,Certificate
U C MAS Training Centre/ K.Male’,Mobile,Private,K.Male',Ma.Blueseven,Certificate
Villa College,College,Private,K.Male',Villa College QI Campus/ Rah Dhebai Hingun,Certificate/ Diploma/ Advanced Diploma/ Degree/ Masters
Villa Institute of Hospitality and Tourism Studies,Specialised,Private,ADh.Nalaguraidhoo,ADh.Nalaguraidhoo,Certificate/ Diploma/ Advanced Diploma
Villa Institute of Information Technology,Specialised,Private,K.Male',H.Gereen,Certificate/ Diploma/ Advanced Diploma
Villa Institute of Water Sports,Specialised,Private,ADh.Nalaguraidhoo,A.Dh.Nalaguraidhoo/ Sun Island,Certificate/ Diploma/ Advanced Diploma
Vocational and Technical Education Center,Mobile,Private,K.Male',M.Kurendhooge,Certificate
Wallaby Institute,Specialised/ Mobile,Private,K.Male',EPS Building,Certificate/ Diploma
Whole Serve Training Department/ K.Male’,Mobile,Private,K.Male',H.Krest,Training Programs (Tourism)
Eupheus Collegiate,Specialised /Mobile,Private,K.Male',Ma.pinekle,Certificate/ Diploma
Dhivehiraajjeyge kulhivaruge gaumee marukazu,Specialised,Government,K.Male',H.Boalhage,Certificate/ Diploma
Institute for Correctional Studies,Specialised/ Mobile,Government,K.Male',DPRS/ Gazi Building,Certificate/ Diploma
Training Institute for Professional Services,Mobile,Private,K.Male',D.S.P Soliutions/ H.Brevimagu,Certificate
Komandoo Institute of Tertiary Education,Specialised,Government,Sh. Komandu,Miladhun Madulu Uthuru Council Idhaara,Certificate/ Diploma
Haf Tailors Training Center,Specialised/ Mobile,Private,K.Male',H.Emotion,Certificate/ Diploma
Maldives Institute for Education and Training,Specialised/ Mobile,Private,ADh.Mahibadhoo,Udharess/ Orchid Magu,Certificate/ Diploma
Institute of Quruanic Studies,Specialised,Private,K.Male',G.Meerange,Certificate/ Diploma
Edhuru Institute,Specialised/ Mobile/ Open Learning,Private,K.Male',M.Shabeena/Buruzu Magu,Certificate/ Diploma
Husaimin Institute,Specialised,Private,B.Hithaadhoo,Hiyaavahi,Certificate/ Diploma
Hamilton Institute,Specialised,Private,K.Male',M.Uthuruvehir/ keneree magu,Certificate/ Diploma
National Institute for Research and addiction studies,Specialised/ Mobile,Government,K.Male',Drug Rehabilitation Centre/ K.Hinmafushi,Certificate/ Diploma
Atlas Learning Centre,Specialised,Private,K.Male',M.Manafaru,Certificate/ Diploma
Institute of Design,Specialised,Private,K.Male',M.Kurimagu,Diploma
